type,Total,Count,OPS,Avg,p0 (min),p100 (max),p50,p90,p95,p99,p99.9,p99.99
Read,114.4,999992,8741.1,981,428,13151,782,1575,1971,3089,4659,7587
RMW,114.4,499840,4369.2,2424,784,19919,2037,3769,4375,5607,7599,11063
Update,114.4,499837,4369.3,1421,669,14567,1102,2423,2955,4037,5511,8415
Total,114.4,1499829,13110.2,1128,428,14567,936,1908,2419,3585,5095,7967
Read,113.9,999990,8782.8,977,429,11511,779,1569,1958,3059,4635,7019
RMW,113.9,499978,4391.4,2417,605,15911,2019,3779,4379,5619,7471,10263
Update,113.9,499976,4391.4,1417,662,11695,1100,2419,2947,4019,5459,7723
Total,113.9,1499966,13174.2,1124,429,11695,933,1901,2409,3567,5047,7315
Read,113.4,999993,8815.4,974,444,14551,779,1560,1947,3029,4571,6683
RMW,113.4,499837,4406.4,2407,732,16639,2012,3753,4359,5567,7463,10231
Update,113.4,499834,4406.3,1412,670,14207,1098,2405,2931,4005,5479,8183
Total,113.4,1499827,13221.6,1120,444,14551,932,1891,2393,3549,5039,7367
Read,114.0,999988,8769.9,978,431,12399,780,1568,1957,3055,4611,7119
RMW,114.0,499634,4382.0,2418,612,15655,2023,3777,4375,5599,7507,10887
Update,114.0,499627,4381.9,1418,679,13039,1101,2423,2947,4029,5503,8495
Total,114.0,1499615,13151.7,1124,431,13039,934,1900,2411,3565,5091,7615
Read,114.0,999989,8774.3,978,451,11295,780,1572,1960,3057,4607,7039
RMW,114.0,500493,4391.6,2419,625,13695,2025,3777,4379,5607,7411,10279
Update,114.0,500485,4391.6,1418,673,12215,1101,2425,2963,4031,5455,8043
Total,114.0,1500474,13165.6,1125,451,12215,934,1902,2413,3573,5055,7259
Read,114.0,999993,8768.9,977,454,18655,779,1567,1959,3071,4631,7043
RMW,114.0,500339,4387.5,2418,632,19119,2032,3763,4351,5567,7487,10263
Update,114.0,500336,4387.5,1418,672,13663,1101,2413,2941,4007,5543,7723
Total,114.0,1500329,13156.4,1124,454,18655,933,1901,2409,3563,5099,7387
Read,108.8,999991,9192.8,935,429,11703,765,1477,1823,2661,3965,6591
RMW,108.8,499697,4593.8,2302,585,13351,1932,3521,4091,5239,6891,9759
Update,108.8,499695,4593.8,1345,695,12303,1076,2247,2739,3725,5115,7503
Total,108.8,1499686,13786.5,1071,429,12303,909,1752,2217,3253,4615,7027
Read,113.5,999993,8809.4,973,450,11855,778,1559,1942,3027,4543,6823
RMW,113.5,499691,4402.1,2409,643,16399,2017,3753,4355,5575,7459,10391
Update,113.5,499689,4402.0,1414,674,12663,1098,2409,2937,4017,5531,8495
Total,113.5,1499682,13211.5,1120,450,12663,932,1891,2393,3555,5035,7459
Read,114.1,999996,8760.5,981,457,15199,780,1576,1967,3089,4691,7427
RMW,114.1,499357,4374.8,2424,593,20079,2025,3791,4411,5655,7531,10655
Update,114.1,499355,4374.8,1422,684,15095,1101,2433,2981,4063,5519,8287
Total,114.1,1499351,13135.1,1128,457,15199,935,1908,2425,3609,5143,7703
Read,114.1,999993,8767.3,979,434,12151,781,1570,1958,3073,4599,7227
RMW,114.1,500619,4389.3,2419,657,14879,2028,3773,4375,5603,7503,10207
Update,114.1,500614,4389.3,1417,682,11191,1101,2415,2941,4029,5483,8131
Total,114.1,1500607,13156.5,1125,434,12151,935,1902,2405,3571,5063,7695